artist_uri,isrc
spotify:artist:0Dvx6p8JDyzeOPGmaCIH1L,DEYA11900063
spotify:artist:6qFt3TjvxMt77YGsktWG8Z,DEYA11900063
spotify:artist:3pjq2pDV9RR6VY55wBjVnp,DEYA11900063
spotify:artist:22Zqu1yyebVnbve8FxbJ2g,DEA319600881
spotify:artist:5wwneIFdawNgQ7GvKK29Z3,NLZ541900787
spotify:artist:0uGApGjjFXKwUOAqYBeX7B,NLZ541900787
spotify:artist:4rp8rIXbwp93MnStnqDGQD,DEUM71600093
spotify:artist:4FDj6mh458K7m9Txwyj2rt,DEUM71600093
spotify:artist:5FYfIAuN8mV5KgVtugwfc0,DEA811000900
spotify:artist:4b5KCqDoK78eZOv80ae7ZH,DEA811000900
spotify:artist:5FYfIAuN8mV5KgVtugwfc0,DEE861804301
spotify:artist:7Kif1sqh6J226OZFwUgt8n,DEE861804301
spotify:artist:3tLYpanVDomWAZqF82NPds,SEUM71700309
spotify:artist:1u7OVFmWah4wQhOPIbUb8U,NLZ541700620
spotify:artist:1DUd25ybTBglvAohsXTmBx,NLZ541700620
spotify:artist:2P7AfQW941UU324qq2ggZf,DEBL61800560
spotify:artist:5zExRf0VQCl3GO4Jrj8r0s,FR9W11612096
spotify:artist:0CbeG1224FS58EUx4tPevZ,AUNV01600750
spotify:artist:7GMot9WvBYqhhJz92vhBp6,DEN061901866
spotify:artist:2vVNxGBvKRQMWwI5c8KmYh,NLZ541901323
spotify:artist:4KG9oqu0VXEqu6fNdiip0U,NLZ541901323
spotify:artist:0TKFPt9w0AAEnhB9bd0pLy,ITV951900034
spotify:artist:5ENS85nZShljwNgg4wFD7D,ITV951900034
spotify:artist:3t5xRXzsuZmMDkQzgOX35S,ITV951900034
spotify:artist:5P4P6G0pubLi65R3zRnSCf,DEXO71942616
spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,GBWWP1703155
spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,USWB11701514
spotify:artist:3Isy6kedDrgPYoTS1dazA9,USAT21101550
spotify:artist:5LmYIx9kSWBJOWbP4xAxb1,USAT21101550
spotify:artist:5tKXB9uuebKE34yowVaU3C,USRE10901161
spotify:artist:4VMYDCV2IEDYJArk749S6m,QM6N21759342
spotify:artist:5M5PjPSiKeXynM6Ohu350r,ITL010400055
spotify:artist:04gDigrS5kc9YWfZHwBETP,USUM71805272
spotify:artist:4kYSro6naA4h99UJvo89HB,USUM71805272
spotify:artist:1huEHiP7LUQ8QJHXbzrtDu,DEN060900695
spotify:artist:60d24wfXkVzDSfLS6hyCjZ,NLM5S1600075
spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,NLM5S1600075
spotify:artist:29QbBR0oTzA7A0kiOzrbbr,NLM5S1600075
spotify:artist:5gWzmnHTLNXz5CjOc0wAuK,NLM5S1600075
spotify:artist:1huEHiP7LUQ8QJHXbzrtDu,DEN060801027
spotify:artist:7qXzy6c5RWT0XlVQcOBIDG,DEQ321700052
spotify:artist:06HL4z0CvFAxyc27GXpf02,USCJY1431349
spotify:artist:1sDVuztNhGcetCLChkleDA,BRIMT1100076
spotify:artist:0jnsk9HBra6NMjO2oANoPY,USAT21101961
spotify:artist:6oBm8HB0yfrIc9IHbxs6in,SEVUM1100103
spotify:artist:4WUGQykLBGFfsl0Qjl6TDM,SEVUM1100103
spotify:artist:1zNqDE7qDGCsyzJwohVaoX,GBAHS1600223
spotify:artist:66CXWjxzNUsdJxJ2JdwvnR,USUM71405403
spotify:artist:5yG7ZAZafVaAlMTeBybKAL,USUM71405403
spotify:artist:0jnsk9HBra6NMjO2oANoPY,USAT21201745
spotify:artist:0TnOYISbd1XYRBk9myaseg,USRC11301695
spotify:artist:6LqNN22kT3074XbTVUrhzX,USRC11301695
spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,USSM10010287
spotify:artist:1OAjDaKgg00KCUYqDe68un,DEA319908471
spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,GBQCP1400109
spotify:artist:6olE6TJLqED3rqDCT0FyPh,USGF19942501
spotify:artist:0wgLwvDNCHdJ9FblyyD4Dc,DEG129800581
spotify:artist:5rSXSAkZ67PYJSvpUpkOr7,USJI19710083
spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,GBF089190020
spotify:artist:2YVF0Ou5zIc4mpgtLIlGN0,ITA169500003
spotify:artist:0Suv0tRrNrUlRzAy8aXjma,DEA410500401
spotify:artist:4mYFgEjpQT4IKOrjOUKyXu,USSM10008431
spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,USSM10702135
spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j,GBARL1800805
spotify:artist:74lRkEloOvori8dZJjNEjd,GBARL1800805
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,SE5R71700101
spotify:artist:5JYo7gm2dkyLLlWHjxS7Dy,SE5R71700101
spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,CHB701400134
spotify:artist:4V8Sr092TqfHkfAA5fXXqG,USUM71712163
spotify:artist:6S2OmqARrzebs0tKUEyXyp,USUM71712163
spotify:artist:1eeWVOCazGzGQXOGhnDHTB,DEQ121216544
spotify:artist:49CE2ffZ6Z3zeYSDauSKck,DEN061401029
spotify:artist:0EmeFodog0BfCgMzAIvKQp,USSM11001353
spotify:artist:7AcV1lk8Zrgo1691PDWEle,USSM11001353
spotify:artist:5tKXB9uuebKE34yowVaU3C,USRE10901161
spotify:artist:3nDNDLcZuSto4k9u4AbcLB,DEQ321300474
